Key,Value
T1070.004,Attacker actors deleted tools and batch files from victim systems.
T1206,The OSX Proton Malware has disabled <code>tty_tickets</code> to potentially make scripting easier by issuing <code>echo \'Defaults !tty_tickets\' >> /etc/sudoers</code>  .
T1584.004,Adversaries may compromise third-party servers that can be used during targeting.
T1070.004,Software contains the deletFileFromPath function to delete a specified file using the NSFileManager:removeFileAtPath method.
T1077,The Software utility can be used to connect to Windows admin shares on remote systems using <code>net use</code> commands with valid credentials.
T1489,Software can stop and disable services on the system.
T1036,Software contains several references to football  in a likely attempt to disguise its traffic.
T1140,Software can deobfuscate packed binaries in memory.
T1140,Software decodes configuration items from a bundled file for command and control activity.
T1033,Attacker has used the <code>quser</code> command to show currently logged on users.
T1069.001,Attacker has used <code>net localgroup administrators</code> to identify  accounts with local administrative rights.
T1564.001,"To prevent normal users from accidentally changing special files on a system, most operating systems have the concept of a ‘hidden’ file."
T1055.012,Software can launch itself from a hollowed svchost.exe process.
T1499.004,Adversaries may exploit software vulnerabilities that can cause an application or system to crash and deny availability to users.
T1059.003,Software can use `cmd.exe` for discovery actions on a targeted system.
T1112,Software can write the process ID of a target process into the `HKEY_LOCAL_MACHINE\SOFTWARE\DDE\tpid` Registry value as part of its reflective loading activity.
T1071.001,Attacker has used HTTP for network communication.
T1518,Software can identify the victim's browser in order to serve the correct fake update page.
T1070.001,"There are three system-defined sources of events: System, Application, and Security, with five event types: Error, Warning, Information, Success Audit, and Failure Audit."
T1134.001,"Software can impersonate tokens using <code>LogonUser</code>, <code>ImpersonateLoggedOnUser</code>, and <code>ImpersonateNamedPipeClient</code>."
T1204.001,Attacker's spearphishing emails required a user to click the link to connect to a compromised website.
T1003.001,Software can perform credential dumping from memory to obtain account and password information.
T1027.007,Software can use a dynamic Windows hashing algorithm to map API components.
T1027.013,"Software uses a custom algorithm to obfuscate its internal strings and uses hardcoded keys.

Software also uses encoded configuration files and has encoded payloads using Base64."
T1542.005,TFTP boot  is commonly used by network administrators to load configuration-controlled network device images from a centralized management server.
T1105,Attacker has downloaded additional payloads and malicious scripts onto a compromised host.
T1559.002,Software can execute tasks via OLE.
T1033,Software can collect the user name of the system.
T1082,"Software collects system information from the victim, including CPU speed, computer name, volume serial number, ANSI code page, OEM code page identifier for the OS, Microsoft Windows version, and memory information."
